"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.769626637E1,1.772606067E1,1.183494797E2,-1.000000000E0,-1.000000000E0,4.189673581E2,4.189673581E2
1.774931669E0,4.769526655E1,1.772453165E1,1.208978919E2,1.073762226E1,-1.000000000E0,4.800000000E1,4.800000000E1
2.774924755E0,4.769533469E1,1.772441182E1,1.034542516E2,1.180292892E1,-1.000000000E0,3.200000000E1,3.200000000E1
3.774917722E0,4.769527313E1,1.772427204E1,1.148603456E2,1.180292892E1,-1.000000000E0,3.200000000E1,3.200000000E1
4.774909973E0,4.769523900E1,1.772412351E1,1.162248564E2,1.207426357E1,-1.000000000E0,1.600000000E1,1.600000000E1
5.774903059E0,4.769520087E1,1.772396356E1,1.165643897E2,1.323087120E1,-1.000000000E0,2.400000000E1,2.400000000E1
6.774896145E0,4.769516161E1,1.772380069E1,1.165794466E2,1.556478691E1,-1.000000000E0,1.600000000E1,1.600000000E1
7.612081289E0,4.769510415E1,1.772361901E1,1.165061216E2,1.594252872E1,-1.000000000E0,1.600000000E1,1.600000000E1
8.612074733E0,4.769505844E1,1.772344114E1,1.163671180E2,1.586666107E1,-1.000000000E0,1.600000000E1,1.600000000E1
9.622489572E0,4.769499758E1,1.772321189E1,1.201941121E2,1.586666107E1,-1.000000000E0,1.600241655E1,1.600241655E1
1.062248302E1,4.769497979E1,1.772310353E1,1.166406337E2,7.224839687E0,2.479515490E2,1.200181241E1,1.200181241E1
1.260447669E1,4.769487235E1,1.772287130E1,1.205160321E2,1.752874184E1,2.443466949E2,8.001208274E0,8.001208274E0
1.361212718E1,4.769479439E1,1.772263084E1,1.169240226E2,1.826567078E1,2.443466949E2,8.001208274E0,8.001208274E0
1.461212122E1,4.769472250E1,1.772240913E1,1.168491989E2,1.826567078E1,2.443466949E2,8.001208274E0,8.001208274E0
1.568737340E1,4.769464410E1,1.772216734E1,1.167208807E2,1.898064613E1,2.443466949E2,8.001208274E0,8.001208274E0
1.668736756E1,4.769456352E1,1.772191880E1,1.166924894E2,1.999191475E1,2.443466949E2,6.000906205E0,6.000906205E0
1.772880137E1,4.769448463E1,1.772167550E1,1.164540760E2,1.999191475E1,2.443466949E2,6.000906205E0,6.000906205E0
1.872879517E1,4.769440874E1,1.772144145E1,1.162333322E2,1.972653961E1,2.443466949E2,6.000906205E0,6.000906205E0
1.972878885E1,4.769432852E1,1.772119405E1,1.161500639E2,1.946284676E1,2.443466949E2,6.000906205E0,6.000906205E0
2.081599212E1,4.769425449E1,1.772096573E1,1.160050947E2,1.892314148E1,2.443466949E2,6.000906205E0,6.000906205E0
2.181598616E1,4.769418072E1,1.772073832E1,1.158532686E2,1.892314148E1,2.443339691E2,6.000906205E0,6.000906205E0
2.281594861E1,4.769410587E1,1.772050762E1,1.157615251E2,1.887814903E1,2.443339691E2,6.000906205E0,6.000906205E0
2.381590486E1,4.769403416E1,1.772028659E1,1.155746331E2,1.872059441E1,2.443339691E2,6.000906205E0,6.000906205E0
