"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.545720000E-1,-3.136052750E-3,9.028127417E-3,-5.300146528E-3
1.646120000E-1,2.094928641E-3,1.168223470E-2,-7.544125430E-3
1.746220000E-1,-4.548475146E-3,-1.044305228E-2,-1.147053204E-2
1.846620000E-1,-1.665337011E-3,5.436045583E-3,-1.240423508E-2
1.947020000E-1,-9.602684528E-3,-7.755238097E-3,-1.083371509E-2
2.047430000E-1,-3.830814734E-3,5.205567926E-3,-8.751655929E-3
2.147830000E-1,-1.191034913E-3,8.966628462E-3,-7.471527904E-3
2.248230000E-1,-5.050221458E-3,5.983354989E-3,-7.664607838E-3
2.348630000E-1,-2.301088534E-3,3.260626458E-3,-9.097599424E-3
2.449040000E-1,-2.636913210E-3,-3.956806380E-3,-1.452299114E-2
2.549440000E-1,-2.579594031E-3,6.300760433E-3,-8.721352555E-3
2.649840000E-1,-2.673070878E-3,-1.670347061E-3,-7.342900150E-3
2.750250000E-1,-3.780105151E-3,8.270358667E-3,-4.668339156E-3
2.850650000E-1,1.147275325E-3,3.793851007E-3,-9.490258060E-3
2.951050000E-1,-3.189919516E-4,1.190207433E-3,-9.491379373E-3
3.051450000E-1,-1.393577084E-3,2.989172935E-3,-1.211485919E-2
3.151860000E-1,1.526074484E-4,1.531732455E-2,-9.631676599E-3
3.252260000E-1,-5.081036128E-3,1.499028690E-2,-8.911825716E-3
3.352660000E-1,-3.652039915E-3,2.239477634E-2,-3.806489520E-3
3.453070000E-1,-2.030174248E-3,1.236584317E-2,-4.387059249E-3
3.553470000E-1,-4.607150331E-3,7.954552770E-3,-7.359845564E-3
3.653870000E-1,-6.537143141E-3,4.846377764E-3,-1.351600885E-2
3.754270000E-1,-1.025197655E-2,-1.593910623E-3,-1.182144322E-2
3.854680000E-1,-6.022610702E-3,1.269607991E-2,-1.026855409E-2
3.955080000E-1,-1.375644002E-2,1.713580079E-2,-6.088718772E-3
4.055480000E-1,-1.305096876E-2,1.440499537E-2,-7.696202025E-3
4.155880000E-1,-9.962206706E-3,1.997407898E-2,-5.821885541E-3
4.256290000E-1,-1.013664342E-2,1.506933384E-2,-1.149947755E-2
4.356690000E-1,-1.031616796E-2,9.941006079E-3,-1.189867035E-2
4.457090000E-1,-9.592055343E-3,8.475201204E-3,-1.371254958E-2
4.557500000E-1,-9.227945469E-3,-6.319819018E-3,-8.828899823E-3
4.657900000E-1,-9.855120443E-3,-2.728546038E-3,-6.826468743E-3
4.758300000E-1,-3.757858649E-3,9.081903845E-3,-6.950521842E-3
4.858700000E-1,-6.570423022E-3,1.706278417E-3,-1.528009027E-2
4.959110000E-1,-1.008952968E-3,1.867898274E-3,-1.515012421E-2
5.059510000E-1,-3.586626612E-3,7.379190065E-4,-1.295461319E-2
5.159910000E-1,-6.159268320E-3,-9.202903137E-3,-1.105520688E-2
5.260320000E-1,2.831844613E-4,2.076430246E-4,-9.132403880E-3
5.360720000E-1,-2.197846770E-4,-7.562886924E-3,-7.615308277E-3
5.461120000E-1,6.144371815E-3,1.703315880E-3,-8.141017519E-3
5.561520000E-1,-6.424374878E-4,-1.186954044E-2,-1.428572182E-2
5.661930000E-1,3.448178060E-3,-9.797867388E-3,-1.281991880E-2
5.762330000E-1,5.744164810E-4,-3.275605384E-3,-9.603673592E-3
5.862430000E-1,7.823008113E-3,2.125551458E-3,-8.631886914E-3
5.962830000E-1,4.618866835E-3,8.160828613E-3,-8.612612262E-3
6.063230000E-1,3.807934467E-3,1.997727342E-2,-9.196909145E-3
6.163640000E-1,-5.754943937E-3,1.148285531E-2,-7.618186995E-3
6.264040000E-1,-4.447598942E-3,9.506257251E-3,-8.257346228E-3
6.364440000E-1,-4.429213703E-3,2.062104084E-2,-7.613136433E-3
6.464840000E-1,-1.510982122E-2,7.631738670E-3,-9.904519655E-3
6.565321667E-1,-1.335272286E-2,1.598188654E-2,-9.494335391E-3
6.665721667E-1,-1.850673929E-2,1.363262068E-3,-1.078490261E-2
6.766121667E-1,-1.773919351E-2,1.664147899E-2,-1.381426584E-2
6.866531667E-1,-1.706301793E-2,8.604592644E-3,-1.049197186E-2
6.966931667E-1,-1.806604117E-2,1.859159209E-2,-8.322221227E-3
7.067331667E-1,-1.998112164E-2,1.075337641E-2,-6.333905272E-3
7.167731667E-1,-1.410665177E-2,2.173599973E-2,-9.085281752E-3
7.268141667E-1,-1.241501234E-2,2.012984827E-2,-1.135642547E-2
7.368541667E-1,-1.443620492E-2,2.062081173E-2,-1.111316681E-2
7.468941667E-1,-1.573263109E-2,8.550032973E-3,-1.263170131E-2
7.569351667E-1,-7.561401464E-3,2.080868930E-2,-1.081633661E-2
7.669751667E-1,-1.212792471E-2,1.827016473E-2,-7.116672583E-3
7.770151667E-1,-6.219112314E-3,2.738982625E-2,-2.544880845E-3
7.870551667E-1,-4.373807460E-3,1.543622836E-2,-7.020322606E-3
7.970961667E-1,1.334380358E-4,2.066042647E-2,-1.283971220E-2
8.071361667E-1,-1.992297359E-3,8.347301744E-3,-1.472869329E-2
8.171761667E-1,-4.382347688E-4,2.294118702E-2,-1.138493139E-2
8.272171667E-1,-3.463053145E-3,1.104031876E-2,-1.011833083E-2
8.372571667E-1,-4.768754356E-3,1.272566244E-2,-7.715940475E-3
8.472971667E-1,-8.664242923E-4,1.520373300E-2,-8.578805253E-3
8.573371667E-1,-4.265729338E-3,-1.689057797E-3,-8.196328767E-3
8.673781667E-1,2.733622678E-4,4.845008254E-3,-9.141216986E-3
8.774181667E-1,-5.054834299E-3,-6.728663109E-3,-9.384087287E-3
8.874581667E-1,-4.776533693E-3,-3.015151480E-3,-9.837358259E-3
8.974991667E-1,-1.048265211E-2,-3.537248122E-3,-8.239701390E-3
9.075391667E-1,-8.356649429E-3,3.824261948E-3,-7.560595870E-3
9.175791667E-1,-1.020236779E-2,-1.514899544E-2,-1.305507775E-2
9.276191667E-1,-4.213716835E-3,-1.192923356E-2,-1.294562127E-2
9.376601667E-1,-5.935264751E-3,-1.213583909E-2,-1.053751353E-2
9.477001667E-1,-1.502037235E-2,-1.774392463E-2,-1.320813131E-2
9.577401667E-1,-1.413107384E-2,-2.304194868E-2,-1.527294889E-2
9.677811667E-1,-1.151185576E-2,-2.010741085E-2,-1.521089673E-2
9.778211667E-1,-6.651763804E-3,-3.799375379E-3,-1.447063126E-2
9.878611667E-1,-1.478905231E-2,-1.443337742E-2,-1.960760169E-2
9.979011667E-1,-8.230275474E-3,1.729673706E-3,-2.008425258E-2
1.007942167E0,-7.033983245E-3,-7.238965482E-4,-2.075270377E-2
1.017951167E0,-4.392490722E-3,-3.687104210E-3,-2.803662233E-2
1.027992167E0,-4.467858002E-3,-4.991520662E-3,-3.097116016E-2
1.038032167E0,-8.262222633E-3,-2.039947920E-2,-3.209058940E-2
1.048072167E0,2.240752336E-3,-7.763578556E-3,-3.494736180E-2
1.058113167E0,3.381256945E-3,-6.658695638E-3,-3.570463881E-2
1.068153167E0,-4.118205048E-3,-1.625033654E-2,-3.792198747E-2
1.078193167E0,5.254796706E-4,-1.534631103E-2,-4.195927083E-2
1.088233167E0,-1.087330282E-3,-9.396010078E-3,-4.611033946E-2
1.098274167E0,5.372502375E-3,-8.702405728E-3,-4.917783663E-2
1.108314167E0,-5.346555263E-4,-3.739604726E-3,-5.303303152E-2
1.118354167E0,3.975383937E-3,-4.444587044E-3,-5.429294705E-2
1.128395167E0,6.247326732E-3,-2.728978870E-3,-5.724240094E-2
1.138435167E0,9.941884317E-3,1.265443116E-2,-5.902027711E-2
1.148475167E0,6.979118101E-3,1.294205151E-2,-6.022509560E-2
1.158515167E0,2.749371808E-3,2.849446610E-4,-6.567274034E-2
1.168556167E0,9.318324737E-3,8.599866182E-3,-7.082915306E-2
1.178596167E0,1.270272769E-2,2.119233832E-4,-7.151336968E-2
1.188636167E0,1.723888889E-2,5.677795503E-3,-7.322525978E-2
1.198677167E0,9.148217738E-3,-1.502493676E-2,-7.822562009E-2
1.208717167E0,1.757579111E-2,9.593563154E-4,-7.726874202E-2
1.218757167E0,1.553703286E-2,-1.237777434E-2,-8.072782308E-2
1.228797167E0,1.766250283E-2,-7.068495732E-3,-8.503601700E-2
1.238838167E0,1.272206008E-2,-1.094354782E-2,-8.575239033E-2
1.248878167E0,2.272995189E-2,-4.264586605E-4,-9.023263305E-2
1.258918167E0,9.297411889E-3,3.832599148E-3,-9.430611134E-2
1.268959167E0,9.310461581E-3,5.968987010E-3,-9.628883004E-2
1.278999167E0,6.782558281E-3,4.594386555E-3,-9.720572084E-2
1.289039167E0,6.106115412E-3,-7.812040858E-4,-9.996582568E-2
1.299079167E0,1.141066290E-2,9.250984527E-3,-1.021195948E-1
1.309120167E0,2.393465955E-3,1.179742627E-3,-1.058038101E-1
1.319160167E0,-1.950896345E-3,-1.365289558E-3,-1.042328626E-1
1.329200167E0,-1.280845143E-3,-1.924335957E-4,-1.071319804E-1
