"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.701960754E-1,-2.007325745E-1,9.803264008E0
1.000900002E-2,-1.660047913E-1,-1.426533508E-1,9.764943695E0
2.004999999E-2,4.924758911E-2,-1.698966980E-1,9.729617157E0
3.009925003E-2,4.924758911E-2,-2.213896179E-1,9.738149414E0
4.013924999E-2,-2.272274780E-1,-1.703457642E-1,9.776020660E0
5.017925001E-2,-1.627116394E-1,-1.438508606E-1,9.748178558E0
6.022025004E-2,8.562194824E-2,-2.008822632E-1,9.702673187E0
7.026025001E-2,-7.214996338E-2,-2.225871277E-1,9.724078674E0
8.030025003E-2,-2.251318359E-1,-1.814227295E-1,9.711205444E0
9.034125000E-2,-8.427474976E-2,-1.598675537E-1,9.688153381E0
1.003812500E-1,1.107696533E-1,-2.215393066E-1,9.692644043E0
1.104212500E-1,-1.031355286E-1,-2.350112915E-1,9.719588013E0
1.204612500E-1,-2.553689575E-1,-1.802252197E-1,9.721533966E0
1.305022500E-1,-5.478607178E-2,-1.622625732E-1,9.697134705E0
1.405422500E-1,9.160949707E-2,-2.210902405E-1,9.698032837E0
1.505822500E-1,-1.679507446E-1,-2.248324585E-1,9.733359375E0
1.606232500E-1,-2.384541321E-1,-1.549278259E-1,9.708061981E0
1.706632500E-1,1.901046753E-2,-1.646575928E-1,9.678573303E0
1.807032500E-1,7.963439941E-2,-2.278262329E-1,9.702972565E0
1.907432500E-1,-1.787283325E-1,-2.031275940E-1,9.738149414E0
2.007842500E-1,-2.028282166E-1,-1.457968140E-1,9.715396729E0
2.108242500E-1,7.170089722E-2,-1.856140137E-1,9.705816650E0
2.208642500E-1,1.945953369E-2,-2.197430420E-1,9.720186768E0
2.309052500E-1,-2.076182556E-1,-1.874102783E-1,9.717941437E0
2.409452500E-1,-1.359173584E-1,-1.553768921E-1,9.681118011E0
2.509852500E-1,9.714797974E-2,-2.073188782E-1,9.716294861E0
2.610252500E-1,-5.733078003E-2,-2.359094238E-1,9.754615173E0
2.710662500E-1,-2.130070496E-1,-1.725910950E-1,9.736652527E0
2.811062500E-1,-7.439529419E-2,-1.384620667E-1,9.690249023E0
2.911462500E-1,8.292755127E-2,-2.131567383E-1,9.724378052E0
3.011862500E-1,-1.118174744E-1,-2.167492676E-1,9.754914551E0
3.112272500E-1,-2.401007080E-1,-1.459465027E-1,9.708660736E0
3.212672500E-1,-7.005432129E-2,-1.493893433E-1,9.688003693E0
3.313072500E-1,5.763015747E-2,-2.345622253E-1,9.736802216E0
3.413482500E-1,-1.276844788E-1,-1.989363098E-1,9.756112061E0
3.513882500E-1,-2.079176331E-1,-1.197509766E-1,9.716594238E0
3.614282500E-1,-2.978805542E-2,-1.655557251E-1,9.717043304E0
3.714682500E-1,-2.245330811E-3,-2.242337036E-1,9.752220154E0
3.815092500E-1,-1.565744019E-1,-1.682501221E-1,9.735305328E0
3.915492500E-1,-1.344204712E-1,-1.279838562E-1,9.690548401E0
4.015892500E-1,1.796264648E-3,-1.935475159E-1,9.720037079E0
4.116302500E-1,-8.412506104E-2,-2.290237427E-1,9.764644318E0
4.216702500E-1,-1.654060364E-1,-1.544787598E-1,9.726174316E0
4.317102500E-1,-4.131408691E-2,-1.404080200E-1,9.697134705E0
4.417502500E-1,2.365081787E-2,-2.139051819E-1,9.733509064E0
4.517912500E-1,-1.311273193E-1,-2.230361938E-1,9.756411438E0
4.618312500E-1,-1.607656860E-1,-1.612147522E-1,9.701924744E0
4.718712500E-1,4.206253052E-2,-1.841171265E-1,9.677675171E0
4.819122500E-1,2.993774414E-3,-2.396516418E-1,9.719288635E0
4.919522500E-1,-1.538800049E-1,-2.133064270E-1,9.761201477E0
5.019922500E-1,-1.181044006E-1,-1.571731567E-1,9.729916534E0
5.120322500E-1,7.828720093E-2,-2.091151428E-1,9.717342682E0
5.220732500E-1,-6.616241455E-2,-2.371069336E-1,9.768536224E0
