"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.545802500E-1,-1.650251268E-1,-8.977412917E-3,-7.444850385E-2
1.646202500E-1,-7.287698242E-2,4.978070900E-2,-1.174027348E-1
1.746612500E-1,1.882218536E-1,-6.156204455E-3,-1.233867753E-1
1.847012500E-1,6.302618735E-2,-3.882174779E-2,-8.850462556E-2
1.947412500E-1,-1.488089980E-1,1.489682341E-2,-7.308317900E-2
2.047812500E-1,-2.255620083E-2,3.947097145E-2,-1.049627835E-1
2.148222500E-1,2.015798726E-1,-1.886763101E-2,-8.834792018E-2
2.248622500E-1,-8.064717371E-3,-2.325373711E-2,-8.849936306E-2
2.349022500E-1,-1.354953082E-1,2.329309618E-2,-1.054136038E-1
2.449432500E-1,1.087937512E-1,-8.473529108E-4,-1.236060458E-1
2.549832500E-1,1.210014767E-1,-4.777558912E-2,-7.548521519E-2
2.650232500E-1,-1.190193346E-1,-2.859668523E-2,-5.256412983E-2
2.750632500E-1,-1.140075673E-1,4.408659903E-2,-9.563588977E-2
2.851042500E-1,1.093392691E-1,1.972264012E-2,-1.094499367E-1
2.951442500E-1,8.544762813E-2,-4.115217386E-2,-6.183839858E-2
3.051842500E-1,-1.365403427E-1,-3.697998449E-4,-6.250205755E-2
3.152252500E-1,-1.289680157E-1,5.664919568E-2,-1.185406029E-1
3.252652500E-1,9.794762302E-2,2.605263479E-3,-1.028788358E-1
3.353052500E-1,6.109011029E-2,-4.871227652E-2,-5.890309632E-2
3.453452500E-1,-1.293243669E-1,3.138567919E-2,-6.210327744E-2
3.553862500E-1,-7.228430316E-2,7.118528243E-2,-9.965468109E-2
3.654262500E-1,8.839869959E-2,-1.471587036E-2,-7.593077302E-2
3.754662500E-1,-6.225009738E-3,-1.923247900E-2,-5.272668242E-2
3.855072500E-1,-1.035473553E-1,4.803705102E-2,-1.005674314E-1
3.955472500E-1,7.688713996E-3,4.364791168E-2,-1.131284201E-1
4.055872500E-1,6.734515553E-2,-3.190019762E-2,-6.736811042E-2
4.156272500E-1,-6.809491476E-2,-1.637744805E-2,-5.028430045E-2
4.256682500E-1,-6.306521294E-2,6.014497183E-2,-9.965292692E-2
4.357082500E-1,1.048169137E-1,1.643906308E-2,-1.067093468E-1
4.457482500E-1,3.541641162E-2,-4.140689319E-2,-5.314008057E-2
4.557892500E-1,-8.795228295E-2,-1.064944251E-2,-7.063378036E-2
4.658292500E-1,-2.150545618E-2,3.358112594E-2,-1.194264561E-1
4.758692500E-1,1.620286663E-1,-2.854619818E-2,-1.221489197E-1
4.859092500E-1,-1.134177111E-4,-4.948494952E-2,-5.433583617E-2
4.959502500E-1,-8.890523292E-2,4.476957209E-4,-5.834234834E-2
5.059902500E-1,4.893444330E-2,2.059566597E-2,-8.634349465E-2
5.160302500E-1,1.422475358E-1,-4.570428606E-2,-8.532958746E-2
5.260712500E-1,-8.008138251E-2,-3.401075011E-2,-5.552340567E-2
5.361112500E-1,-1.206458381E-1,3.943908585E-2,-7.479816735E-2
5.461512500E-1,9.034907492E-2,1.938269762E-2,-7.525074184E-2
5.561912500E-1,1.300279149E-1,-3.564188574E-2,-7.886315167E-2
5.662322500E-1,-1.048901135E-1,1.164882302E-2,-5.308920979E-2
5.762722500E-1,-1.049629479E-1,6.386418471E-2,-8.464487851E-2
5.863122500E-1,1.249618598E-1,1.339926012E-3,-9.184630930E-2
5.963522500E-1,7.459916102E-2,-3.565231936E-2,-5.907266557E-2
6.063932500E-1,-1.525480457E-1,1.362510882E-2,-7.655233204E-2
6.164332500E-1,-7.606443672E-2,5.759598780E-2,-1.022865129E-1
6.264732500E-1,1.462521476E-1,5.466726366E-3,-9.901674986E-2
6.365142500E-1,1.001915834E-2,-3.116900330E-2,-7.402808905E-2
6.465542500E-1,-1.474607305E-1,1.358388595E-2,-6.592969537E-2
6.565942500E-1,-1.402550605E-2,3.398778152E-2,-7.565653861E-2
6.666342500E-1,1.524480583E-1,-3.129153902E-2,-6.145423651E-2
6.766752500E-1,-5.069439126E-2,-3.412018441E-2,-5.142216861E-2
6.867152500E-1,-9.580204206E-2,2.252851792E-2,-7.130270183E-2
6.967552500E-1,9.856276838E-2,2.600021085E-2,-9.106278241E-2
7.067962500E-1,1.471289376E-1,-3.397195749E-2,-7.327321351E-2
7.168362500E-1,-9.684323930E-2,-2.006165072E-2,-3.628957450E-2
7.268762500E-1,-8.981703311E-2,4.516745685E-2,-6.665358067E-2
7.369162500E-1,1.425443551E-1,3.629110940E-3,-7.399709880E-2
7.469572500E-1,1.093371403E-1,-5.962999659E-2,-5.649521291E-2
7.569972500E-1,-1.210074518E-1,-3.183823541E-2,-7.503848791E-2
7.670372500E-1,-4.043934345E-2,2.630753685E-3,-1.301134121E-1
7.770782500E-1,1.816107906E-1,-3.499863720E-2,-9.211411178E-2
7.871182500E-1,5.994722631E-2,-4.977197472E-2,-6.757276297E-2
7.971582500E-1,-1.409116297E-1,5.846704021E-3,-6.411062658E-2
8.071982500E-1,-4.908260627E-2,2.684005374E-2,-9.959094644E-2
8.172392500E-1,1.103344378E-1,-3.059084158E-2,-9.452491879E-2
8.272792500E-1,-6.621407105E-2,-2.830538426E-2,-6.234301329E-2
8.373192500E-1,-1.673852641E-1,3.589494227E-2,-9.405421793E-2
